i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,"Vehicle, side",2014-10-16T10:30:00,,Busy street bike lane,Flat,W,Heading straight,,F,-123.1030047,49.26202387,492505.5777,5456589.58
Near collision with moving object or vehicle,Other,2014-06-12T17:30:00,"A driver decided to go through a one way only (for cyclist and cars). Almost hit another cyclist.No one was injured.",Busy street bike lane,Flat,W,Heading straight,,,-123.0654842,49.27757324,495236.9953,5458315.169
Near collision with moving object or vehicle,"Vehicle, side",2014-04-15T09:00:00,"Near miss when a kid fell from a poorly maintained sidewalk/bike path, into the street",Mixed use trail,Downhill,E,Heading straight,,,-123.2411742,49.27339089,482456.6659,5457876.144
Near collision with moving object or vehicle,"Vehicle, side",2014-10-09T13:05:00,Car coming south on Lakewood didn't stop at the stop sign. I was already entering the intersection and had to swerve my bike.  The woman was driving very slowly but never so much as pulsed the breaks before entering the intersection and gestured at me as if to suggest I came from nowhere.  Near miss,Quiet street bike lane,Uphill,NW,Heading straight,,F,-123.062067,49.2607017,495484.0016,5456439.343
Near collision with moving object or vehicle,"Vehicle, head on",2014-09-24T18:10:00,"A car was travelling north in the separated bike lane (illegally), taking up almost the entire lane.",Cycle track,Flat,S,Heading straight,1986,M,-123.1291652,49.27773772,490605.176,5458339.42
Near collision with moving object or vehicle,"Vehicle, side",2013-06-16T14:00:00,"I was going straight through on a green light, crossing Hemlock on 7th. A pick-up truck was going down the hill on Hemlock St at a high speed, ran the red, and swerved to avoid me. I stopped in my tracks, and was narrowly missed by inches.","Quiet street, no bike facilities",Flat,W,Heading straight,,F,-123.1360398,49.26537758,490102.6793,5456966.215
Near collision with moving object or vehicle,"Vehicle, head on",2014-09-29T08:20:00,,"Quiet street, no bike facilities",Flat,W,Heading straight,,,-123.1786627,49.23854643,486994.6862,5453989.849
Near collision with moving object or vehicle,"Vehicle, side",2014-08-19T09:10:00,"I was stopped at a red light. A motorcycle pulled up in the right hand turn lane, to the right of me, I was in the bike lane. When the light turned green, he went from the right turning lane, cut in front of me, and nearly knocked me over and nearly collided with cars at the same time. ",Busy street bike lane,Flat,N,Heading straight,1982,F,-123.1000417,49.27273639,492722.7312,5457780.206
Near collision with moving object or vehicle,"Vehicle, rear end",2014-10-20T11:15:00,"Car passed, served into parking lane, braked hard in front of me.","Busy street, no bike facilities",Flat,N,Heading straight,1969,M,-123.1007706,49.26201451,492668.1211,5456588.322
Near collision with stationary object or vehicle,"Vehicle, side",2014-09-30T08:30:00,Translink bus blew the read light heading south. I saw it wasn't going to stop so didn't enter the intersection.  It is very common at this intersection for cars to not stop. ,"Busy street, no bike facilities",Flat,E,Heading straight,,,-123.0763578,49.24464038,494442.3994,5454654.756
Near collision with moving object or vehicle,"Vehicle, side",2014-04-09T08:45:00,"Early morning but light outside and decent visibility. I was travelling on bike route. Cross traffic had stop sign, but rolled through intersection without ""seeing"" me. I was travelling at about 25km, hit brakes and skidded out, narrowly avoiding hitting the car which had proceeded across my path.",Quiet street bike lane,Downhill,W,Heading straight,1954,F,-123.072753,49.27766073,494708.308,5458325.379
Near collision with moving object or vehicle,"Vehicle, angle",2014-10-18T18:30:00,"I was at four way stop, with right of way turning left. Car approaching northbound got to light while I was turning, barely stopped at sign and then proceeded to continue through intersection while I was still turning. Luckily he stopped in time! This is a shifty intersection for bikes! ",Busy street bike lane,Uphill,S,Turning left,1989,F,-123.1030941,49.26562024,492499.6172,5456989.4
Near collision with moving object or vehicle,"Vehicle, side",2014-10-15T09:10:00,Van exiting the Centre for Digital Media did not stop but proceeded directly into bike lane. Driver was on her cell phone.,Cycle track,Flat,E,Heading straight,1958,M,-123.0907989,49.26692244,493394.3043,5457133.018
Near collision with moving object or vehicle,"Vehicle, side",2014-10-15T18:00:00,I was in the roundabout and a vehicle entering the roundabout failed to yield,"Quiet street, no bike facilities",Flat,S,Turning left,1973,M,-123.1317347,49.2849256,490419.672,5459138.823
Near collision with moving object or vehicle,"Vehicle, side",2014-10-29T07:00:00,"Vehicle (dark green Toyota Corolla, mid-90s) heading west on Hastings turned right (north) on Burrard, despite a no right turn sign. As I was crossing at the crosswalk/bike crossing, vehicle narrowly missed me but came close enough that I could smack the rear passenger window. Driver clearly saw me.",Sidewalk,Flat,W,Heading straight,1981,M,-123.1169343,49.28713354,491496.4037,5459382.511
Near collision with moving object or vehicle,"Vehicle, side",2014-10-29T08:30:00,"I observed a cyclist heading westbound along the Great Northern Way cycle path, crossing Glen. While she was just entering the intersection a car turning left from Great Northern Way onto Glen almost collided with her. She slammed on her brakes and skidded her bike to avoid the car.",Cycle track,Flat,W,Heading straight,,,-123.0812877,49.26531569,494086.054,5456953.608
Near collision with moving object or vehicle,"Vehicle, side",2014-10-29T18:30:00,"A taxi was pulling a mid-block turn (like a 3 point U turn) in the midst of a bike lane, and 3 bikes (including myself) had to come to a stop as he pulled in and out, with no apparent awareness of the bikes. ","Quiet street, no bike facilities",Flat,E,Heading straight,1976,F,-123.0906808,49.27752774,493404.3042,5458312.004
Near collision with moving object or vehicle,"Vehicle, side",2014-10-29T08:00:00,Vehicle drove straight through stop sign.,,,,,,,-123.1969929,49.26287572,485667.4283,5456697.852
Near collision with moving object or vehicle,"Vehicle, side",2014-11-05T10:45:00,Vehicle went through stop sign heading south on Alberta St.,,,,,,,-123.1110495,49.26218607,491920.2768,5456608.441
