i_type,date,p_type,details,age,sex,longitude,latitude,X,Y
Driver behaviour,2014-10-08T07:55:00,hazard,"A delivery truck was parked in the bike lane. I signalled a lane change and, after shoulder checking, entered the full lane on Beatty Street between Robson and Georgia. A late-model luxury car overtook me, honked, and buzzed past, crossing the yellow line, then turned right at the next intersection.",,,-123.1130505,49.27838866,491777.3869,5458409.907
Driver behaviour,2014-01-01T08:00:00,hazard,It is common for drivers to do a right turn when the light is red (to let cyclist and pedestrian cross the road). Some will even do a rolling stop without looking for incomming cyclists.,,,-123.0236793,49.27751374,498277.6822,5458306.761
Driver behaviour,2013-10-01T08:30:00,hazard,"Some drivers will circumvent the bike only blockade. The same drivers that will, speed and pass a few feet from you.",,,-123.0363125,49.27745775,497358.7993,5458300.9
Driver behaviour,2012-09-03T10:00:00,hazard,"This crosswalk (which is a part of the bike path) is a bit dangerous. Partially due to visibility (plant growth-  i.e. trees and blackberry bushes), but also due to the fact that drivers (mostly those headed downhill) do not wish to stop at the (poorly) marked crosswalk.",1970,M,-123.0279279,49.28772488,497969.077,5459442.046
Pothole,2014-10-13T08:05:00,hazard,Directly on the southbound bike lane when crossing Marine,,,-123.1172562,49.21020317,491459.7383,5450830.195
Traffic flow,2014-10-15T17:00:00,hazard,Vehicles frequently use the bike lane as a turning lane. This happens daily. ,,,-123.1142038,49.27624332,491693.1389,5458171.534
Traffic flow,2014-10-15T17:00:00,hazard,Bike lane ends with no accommodation for cyclists on a busy road with merging traffic,,,-123.127867,49.27414339,490698.9239,5457939.675
Train track,2014-05-22T17:30:00,hazard,"Bike wheel got caught in train track that goes diagonally across the road, causing bike to slide sideways into oncoming traffic.",1991,M,-123.1362355,49.2705558,490089.4792,5457541.905
Poor signage,2014-03-01T09:00:00,hazard,The bike lane ends for 1 block in both directions on Pacific Blvd between Hornby and Howe street. The only way to cycle on Pacific here is to merge into traffic for this block until the bike lane resumes. Traffic is heavy and fast moving here especially during rush hour.,,,-123.1309408,49.27597734,490475.6873,5458143.939
Cyclist behaviour,2014-10-01T08:10:00,hazard,Cyclists frequently disregard stop signs causing dangerous motor vehicle behaviours.,,,-123.0736327,49.26501814,494642.9495,5456919.958
Poor visibility,2014-11-05T15:00:00,hazard,It is always hard to see south up Yukon when going through this intersection. I also see cyclists frequently blow through the stop signs here. A flashing yellow for motorists on Yukon or lights would are warranted here.,,,-123.1131577,49.26221757,491766.8929,5456612.171
Poor signage,2014-11-05T15:05:00,hazard,"The blinking hand lasts a long time on 10th Ave, so it is hard to know when it is safe to enter this large intersection on bike (there is no countdown). A countdown might help traffic - in eve. rush hour there is ALWAYS a vehicle stuck in the intersection on a red light, heading south on Cambie.",,,-123.1149226,49.26225258,491638.4891,5456616.257
Pedestrian behaviour,2014-07-03T18:00:00,hazard,I commute over the bridge every day and often there are oblivious pedestrians walking in the north-bound cycling lane wearing headphones and unable to hear a bell. Once or twice there have been groups of people with strollers reluctant to move because they thought bikes shouldn't be there. ,,,-123.1395721,49.27455289,489847.5719,5457986.706
Poor visibility,2014-06-01T17:20:00,hazard,"Carrall Street bikeway southbound merges at intersection with Keefer street. There is a high vegetation in median between bike path and vehicle lane just before they  merge, that causes poor visibility and makes left hand turns for cyclists difficult to communicate. ",1976,M,-123.1044888,49.27924957,492400.2394,5458504.718
Poor signage,2013-05-01T17:30:00,hazard,The designated bike route from Union to Adanac jogs at Vernon drive. Stop signs are on Union & Adanac. There is significant vehicle traffic on Vernon taking a short cut through residential neighbourhood. Stop signs should be on Vernon as well.,1976,M,-123.0792814,49.27730026,494233.4153,5458285.782
Poor visibility,2014-10-07T08:30:00,hazard,Tall grasses in parklet on southeast corner of intersection obscure the view of the westbound bike path for drivers exit ramp from Cambie Bridge to 6th Avenue east. Drivers look west for right on red (eastward) and miss westbound cyclists.  There should be no right on red here!,1950,M,-123.1156254,49.26601931,491587.9997,5457035.083
Other,2014-12-03T17:00:00,hazard,"Shoulder of SW Marine Dr was covered in snow and ice, while roadway was clear. Also, extremely heavy traffic due to construction.",1982,M,-123.1943858,49.23387389,485848.8266,5453473.228
Driver behaviour,2015-03-02T08:47:00,hazard,Vehicle access to a back alley located mid-block on Hornby St. between Davie St. & Helmcken St. Vehicles have to cross the bike lane with a right turn to access the alley. Cars field of view is obstructed by parked cars and shoulder check not respected. Regular near miss for cyslists heading north.,1983,M,-123.127175,49.2789801,490750.1654,5458477.291
Road surface,2015-02-16T08:30:00,hazard,"Seam between road surfaces is quite wide and quite deep. While riding westbound on the wet road, changing from riding in the middle of the road (to avoid the parked cars) to making a right turn, my front tire got caught in the seam and I was thrown from my bike. ",1974,M,-123.14749,49.27075181,489270.8039,5457565.232
Road surface,2015-03-18T07:40:00,hazard,"Slippery pavement with wet weather when turning from Powell St. to Carrall St.Not only is the surface paved with slippery red bricks but many are loose as well. ",,,-123.1041026,49.28335793,492428.9605,5458961.409
Other infrastructure,2015-03-27T06:20:00,hazard,Gap in west side of fence adjacent to steep drop off and narrow two-way path. ,1976,M,-123.0264473,49.29065695,498076.8592,5459767.968
Driver behaviour,2015-03-27T06:25:00,hazard,"Heavy westbound right turn traffic fails to yield to cyclists, particularly when southbound cyclist attempts to cross right turn channel from northeast pathway. Driver focus is entirely on conflicting vehicle movements.",1976,M,-123.0312055,49.28135279,497730.4322,5458733.749
Driver behaviour,2015-05-06T08:25:00,hazard,Vehicle drivers continually make a sharp right turn.  They need a physical separation.  So that when a vehicle on Ash street turns right heading north to turn right to go East on 4th Ave they are forced to make a wider turn.  This would prevent vehicles cutting off cyclists who are forced to make a ,1979,M,-123.1173921,49.26585128,491459.4408,5457016.601
Driver behaviour,2015-05-05T08:25:00,hazard,"Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way.  This forces cyclists to be in the road slowing down traffic and causing anger from vehicles.   The ""bike path"" is placed in the most dangerous place where cars are constantly opening doors.",1979,M,-123.1144881,49.27721743,491672.6227,5458279.858
Driver behaviour,2015-05-04T17:25:00,hazard,Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way. This forces cyclists to be in the road slowing down traffic and causing anger from vehicles. ,1979,M,-123.1174815,49.26446563,491452.6969,5456862.568
Driver behaviour,2015-05-03T11:45:00,hazard,Constant cars opening doors and moving out of parking spots without seeing if cyclists are in the way. This forces cyclists to be in the road slowing down traffic and causing anger from vehicles. ,1979,M,-123.069697,49.26753852,494929.544,5457199.878
Congestion,2015-05-08T08:30:00,hazard,Cyclists and pedestrians have to make tight turns with lots of traffic.  It is hard to avoid the pedestrians in a bike.  Pedestrians and cyclists should be separated.,1979,M,-123.1140879,49.27416652,491701.2221,5457940.642
Parked car,2015-05-17T13:10:00,hazard,"There is an ambiguous two-way bike lane on this block that doesn't connect to any other bike route and has no signage, but is elevated and has a white line down the middle of part of it so is presumably bicycle infrastructure. However, on a regular basis there are cars parked in it.",1983,M,-123.1016886,49.27113683,492602.6944,5457602.543
