CoV ID,Collision Time Range,Collision Date,Modes,Injury Type,Age,Gender,Latitude,Longitude
1,0:00-2:59,01/01/2008,Veh-Veh,Minor,50-59,F,49.26641004,-123.1008131
2,21:00-23:59,03/01/2008,Veh-Veh,Minor,30-39,F,49.26020101,-123.101075
3,21:00-23:59,03/01/2008,Veh-Veh,Minor,30-39,F,49.28406271,-123.097861
4,21:00-23:59,04/01/2008,Veh-Veh,Minor,30-39,M,49.26020101,-123.101075
5,12:00-14:59,04/01/2008,Veh-Veh,Minor,20-29,F,49.28400374,-123.121739
6,21:00-23:59,05/01/2008,Veh-Ped,Minor,20-29,F,49.2712729,-123.1825622
7,21:00-23:59,02/01/2008,Single Cyl,Minor,30-39,M,49.27081775,-123.114945
8,18:00-20:59,05/01/2008,Veh-Veh,Minor,30-39,F,49.25093973,-123.1009801
9,15:00-17:59,05/01/2008,Veh-Veh,Minor,40-49,F,49.27081775,-123.114945
10,21:00-23:59,05/01/2008,Veh-Ped,Minor,40-49,M,49.23278912,-123.0501378
11,3:00-5:59,05/01/2008,Ped-Unk,Severe,70+,F,49.23594287,-123.042316
12,21:00-23:59,06/01/2008,Veh-Veh,Minor,20-29,M,49.28136016,-123.1009519
13,15:00-17:59,06/01/2008,Veh-Veh,Minor,20-29,M,49.20292174,-123.077401
14,0:00-2:59,06/01/2008,Veh-Veh,Minor,40-49,M,49.22466219,-123.032207
15,3:00-5:59,09/01/2008,Veh-Veh,Minor,20-29,M,49.22186254,-123.1587938
16,21:00-23:59,09/01/2008,Veh-Ped,Minor,20-29,F,49.31555276,-123.138343
17,18:00-20:59,09/01/2008,Veh-Ped,Minor,20-29,F,49.2596221,-123.0775552
18,0:00-2:59,10/01/2008,Veh-Veh,Minor,20-29,F,49.26241202,-123.0813672
19,15:00-17:59,09/01/2008,Veh-Veh,Minor,20-29,M,49.26285921,-123.099514
20,18:00-20:59,10/01/2008,Veh-Ped,Minor,40-49,M,49.24050232,-123.1014864
21,18:00-20:59,10/01/2008,Veh-Ped,Minor,50-59,F,49.22466219,-123.032207
22,15:00-17:59,11/01/2008,Veh-Veh,Minor,30-39,M,49.22466219,-123.032207
23,6:00-8:59,11/01/2008,Veh-Veh,Minor,30-39,F,49.26077176,-123.1386636
24,12:00-14:59,12/01/2008,Veh-Veh,Minor,30-39,F,49.26930059,-123.1079991
25,0:00-2:59,13/01/2008,Veh-Veh,Minor,20-29,F,49.26930059,-123.1079991
26,15:00-17:59,12/01/2008,Veh-Veh,Minor,20-29,F,49.2671372,-123.135963
27,0:00-2:59,13/01/2008,Veh-Veh,Minor,20-29,M,49.26930059,-123.1079991
28,3:00-5:59,13/01/2008,Veh-Veh,Minor,20-29,F,49.26930059,-123.1079991
29,3:00-5:59,13/01/2008,Veh-Mot,Minor,20-29,M,49.26930059,-123.1079991
30,18:00-20:59,13/01/2008,Veh-Ped,Minor,20-29,F,49.28122081,-123.0934318
31,21:00-23:59,13/01/2008,Veh-Veh,Minor,70+,M,49.28122081,-123.0934318
32,6:00-8:59,14/01/2008,Veh-Veh,Minor,20-29,M,49.22179966,-123.0658296
33,6:00-8:59,14/01/2008,Veh-Veh,Minor,50-59,F,49.22179966,-123.0658296
34,12:00-14:59,14/01/2008,Veh-Veh,Minor,50-59,F,49.23282645,-123.0553955
35,9:00-11:59,15/01/2008,Veh-Veh,Severe,70+,M,49.26350171,-123.1325419
36,0:00-2:59,18/01/2008,Veh-Veh,Severe,0-19,F,49.26423534,-123.0774644
37,6:00-8:59,18/01/2008,Veh-Veh,Minor,30-39,F,49.23247416,-123.1396532
38,21:00-23:59,19/01/2008,Veh-Veh,Minor,30-39,F,49.22170636,-123.1400535
39,0:00-2:59,19/01/2008,Veh-Veh,Minor,30-39,M,49.26196838,-123.0986388
40,3:00-5:59,20/01/2008,Veh-Veh,Minor,20-29,M,49.21945281,-123.1482455
41,3:00-5:59,20/01/2008,Veh-Veh,Minor,20-29,M,49.25817077,-123.0442814
42,15:00-17:59,21/01/2008,Veh-Veh,Minor,30-39,F,49.21920398,-123.1285906
